course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info,row_id
대영힐스,2026-09-18,17:31,89000,golfpang,,,18홀,tr_219968368
프린세스,2026-09-18,17:34,125000,golfpang,,,18홀,tr_219822356
대영베이스,2026-09-18,17:44,89000,golfpang,,,18홀,tr_219969047
모나크,2026-09-18,17:03,110000,golfpang,,,18홀,tr_220184138
블랙스톤벨포레,2026-09-18,17:30,55000,golfpang,,,18홀,tr_220036785
블랙스톤벨포레,2026-09-18,18:40,45000,golfpang,,,18홀,tr_220036786
힐데스하임,2026-09-18,18:34,90000,golfpang,,,18홀,tr_220202386
대영베이스,2026-09-18,18:24,89000,golfpang,,,18홀,tr_219969046
모나크,2026-09-18,18:02,110000,golfpang,,,18홀,tr_220184139
힐데스하임,2026-09-18,18:04,95000,golfpang,,,18홀,tr_220202385
킹즈락,2026-09-18,18:06,80000,golfpang,,,18홀,tr_218868139
이븐데일,2026-09-18,17:54,75000,golfpang,,,18홀,tr_219613910
대호단양,2026-09-18,17:11,99000,golfpang,,,18홀,tr_220214055
대영힐스,2026-09-18,18:55,79000,golfpang,,,18홀,tr_220153650
오로라,2026-09-18,18:46,80000,golfpang,,,18홀,tr_220055144
오로라,2026-09-18,17:50,100000,golfpang,,,18홀,tr_220055143
대영힐스,2026-09-18,17:31,89000,golfpang,,,18홀,tr_220214012
센추리21,2026-09-18,18:29,70000,golfpang,,,18홀,tr_220213907
센추리21(퍼),2026-09-18,18:29,65000,golfpang,,,18홀,tr_220213905
센추리21(퍼),2026-09-18,18:00,65000,golfpang,,,18홀,tr_220213903
골프존 안성W,2026-09-18,19:20,110000,golfpang,,,18홀,tr_220055656
센추리21(퍼),2026-09-18,17:40,65000,golfpang,,,18홀,tr_219785134
센추리21,2026-09-18,18:01,70000,golfpang,,,18홀,tr_219798276
센추리21,2026-09-18,17:26,70000,golfpang,,,18홀,tr_219798275
알프스대영,2026-09-18,18:46,69000,golfpang,,,18홀,tr_220195595
알프스대영,2026-09-18,16:54,89000,golfpang,,,18홀,tr_220195593
남한강에스파크,2026-09-18,18:21,79000,golfpang,,,18홀,tr_220193147
남한강에스파크,2026-09-18,18:14,79000,golfpang,,,18홀,tr_220193146
남한강에스파크,2026-09-18,18:07,79000,golfpang,,,18홀,tr_220193145
파주타이거,2026-09-18,18:05,170000,golfpang,,,18홀,tr_220149218
남한강에스파크,2026-09-18,18:28,79000,golfpang,,,18홀,tr_220213490
남한강에스파크,2026-09-18,18:14,79000,golfpang,,,18홀,tr_220213488
한림용인,2026-09-18,17:52,135000,golfpang,,,18홀,tr_220150594
클럽72,2026-09-18,19:03,130000,golfpang,,,18홀,tr_219444044
클럽72,2026-09-18,18:39,140000,golfpang,,,18홀,tr_220004699
한림광릉,2026-09-18,18:41,140000,golfpang,,,18홀,tr_220213393
인천그랜드,2026-09-18,18:01,179000,golfpang,,,18홀,tr_220095326
일라이트,2026-09-18,18:20,87000,golfpang,,,18홀,tr_220204499
로얄링스,2026-09-18,18:00,80000,golfpang,,,18홀,tr_220204487
클럽72,2026-09-18,18:40,140000,golfpang,,,18홀,tr_220210774
클럽72,2026-09-18,17:58,150000,golfpang,,,18홀,tr_220210726
알펜시아700,2026-09-18,18:12,70000,golfpang,,,18홀,tr_220210429
한림용인,2026-09-18,18:06,130000,golfpang,,,18홀,tr_220210427
인천그랜드,2026-09-18,18:36,179000,golfpang,,,18홀,tr_220210423
한림광릉,2026-09-18,18:41,140000,golfpang,,,18홀,tr_220210418
포레스트힐,2026-09-18,18:10,130000,golfpang,,,18홀,tr_220210406
클럽72,2026-09-18,18:39,140000,golfpang,,,18홀,tr_220210403
일레븐,2026-09-18,18:38,55000,golfpang,,,18홀,tr_220000589
이븐데일,2026-09-18,16:50,79000,golfpang,,,18홀,tr_220183924
대영베이스,2026-09-18,17:50,79000,golfpang,,,18홀,tr_219883561
필로스,2026-09-18,17:47,130000,golfpang,,,18홀,tr_220184095
벨라스톤,2026-09-18,17:30,80000,golfpang,,,18홀,tr_219781759
골프존 화랑,2026-09-18,18:30,99000,golfpang,,,18홀,tr_220203772
대영베이스,2026-09-18,17:00,99000,golfpang,,,18홀,tr_219881167
킹즈락,2026-09-18,17:48,80000,golfpang,,,18홀,tr_219781715
알프스대영,2026-09-18,16:34,75000,golfpang,,,18홀,tr_219874829
포레스트힐,2026-09-18,17:40,130000,golfpang,,,18홀,tr_219781762
골프클럽Q,2026-09-18,18:00,120000,golfpang,,,18홀,tr_220204015
남양주(퍼9),2026-09-18,17:00,100000,golfpang,,,18홀,tr_219841765
스톤비치,2026-09-18,17:37,70000,golfpang,,,18홀,tr_220209786
포레스트힐,2026-09-18,18:03,130000,golfpang,,,18홀,tr_219855636
필로스,2026-09-18,18:00,130000,golfpang,,,18홀,tr_220124650
대영힐스,2026-09-18,17:45,79000,golfpang,,,18홀,tr_219997002
세현,2026-09-18,17:41,170000,golfpang,,,18홀,tr_219655781
대영베이스,2026-09-18,17:07,99000,golfpang,,,18홀,tr_219997038
센추리21,2026-09-18,18:01,80000,golfpang,,,18홀,tr_220208044
센추리21,2026-09-18,17:26,80000,golfpang,,,18홀,tr_220208043
오로라,2026-09-18,18:38,80000,golfpang,,,18홀,tr_220207984
클럽72,2026-09-18,17:08,150000,golfpang,,,18홀,tr_220088804
알펜시아700,2026-09-18,19:01,70000,golfpang,,,18홀,tr_220203841
알펜시아700,2026-09-18,18:12,70000,golfpang,,,18홀,tr_220203834
알프스대영,2026-09-18,18:53,69000,golfpang,,,18홀,tr_220203771
알프스대영,2026-09-18,18:46,69000,golfpang,,,18홀,tr_220203766
알프스대영,2026-09-18,18:46,69000,golfpang,,,18홀,tr_220203123
알프스대영,2026-09-18,18:53,69000,golfpang,,,18홀,tr_220203124
알프스대영,2026-09-18,16:54,75000,golfpang,,,18홀,tr_220203122
대영힐스,2026-09-18,17:17,89000,golfpang,,,18홀,tr_220202917
대영힐스,2026-09-18,18:48,79000,golfpang,,,18홀,tr_220202919
대영힐스,2026-09-18,17:31,89000,golfpang,,,18홀,tr_220202918
대영베이스,2026-09-18,18:51,99000,golfpang,,,18홀,tr_220202778
대영베이스,2026-09-18,17:51,99000,golfpang,,,18홀,tr_220202776
대영베이스,2026-09-18,17:51,99000,golfpang,,,18홀,tr_220202777
프린세스,2026-09-18,18:44,120000,golfpang,,,18홀,tr_219427033
옥스필드,2026-09-18,18:18,59000,golfpang,,,18홀,tr_220005101
